,origin_school,destination_school,comparison_level,Origin_School_Name,Origin_District,Destination_School_Name,Destination_District,distance_between,commute_distance,commute_time
29,75,1511,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,WEWAHITCHKA ELEMENTARY SCHOOL                                                                       ,GULF        ,23.32987989,28.9186152867,36.9
30,75,1513,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,PORT ST. JOE ELEMENTARY SCHOOL                                                                      ,GULF        ,40.5047744,53.4596705241,63.9166666667
31,84,1512,elementary,TOMMY SMITH ELEMENTARY SCHOOL                                                                       ,BAY         ,PREK ESE                                                                                            ,GULF        ,23.7505795,29.9594120337,36.15
32,84,1511,elementary,TOMMY SMITH ELEMENTARY SCHOOL                                                                       ,BAY         ,WEWAHITCHKA ELEMENTARY SCHOOL                                                                       ,GULF        ,24.09851421,30.3042730454,36.8333333333
33,84,1513,elementary,TOMMY SMITH ELEMENTARY SCHOOL                                                                       ,BAY         ,PORT ST. JOE ELEMENTARY SCHOOL                                                                      ,GULF        ,34.94812728,42.0978982741,57.0666666667
34,79,1515,high,RUTHERFORD HIGH SCHOOL                                                                              ,BAY         ,WEWAHITCHKA HIGH SCHOOL                                                                             ,GULF        ,25.7849802,27.9088870993,37.3666666667
35,79,1514,high,RUTHERFORD HIGH SCHOOL                                                                              ,BAY         ,PORT ST. JOE HIGH SCHOOL                                                                            ,GULF        ,32.48490353,37.9968484053,51.05
36,94,1515,high,NORTH BAY HAVEN CAREER ACADEMY                                                                      ,BAY         ,WEWAHITCHKA HIGH SCHOOL                                                                             ,GULF        ,25.895562100000003,32.7176787561,41.1833333333
37,94,1514,high,NORTH BAY HAVEN CAREER ACADEMY                                                                      ,BAY         ,PORT ST. JOE HIGH SCHOOL                                                                            ,GULF        ,35.80273375,42.9460699515,58.35
38,75,1878,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,BONIFAY K-8 SCHOOL                                                                                  ,HOLMES      ,32.64109976,48.7360067208,50.1166666667
39,75,1876,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,PONCE DE LEON ELEMENTARY SCHOOL                                                                     ,HOLMES      ,40.39828758,56.8666487712,61.2833333333
40,75,1873,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,POPLAR SPRINGS HIGH SCHOOL                                                                          ,HOLMES      ,41.24605313,50.3379016543,59.0166666667
41,76,1876,elementary,WEST BAY ELEMENTARY SCHOOL                                                                          ,BAY         ,PONCE DE LEON ELEMENTARY SCHOOL                                                                     ,HOLMES      ,31.68655246,38.344816273,41.05
42,76,1878,elementary,WEST BAY ELEMENTARY SCHOOL                                                                          ,BAY         ,BONIFAY K-8 SCHOOL                                                                                  ,HOLMES      ,35.46900847,41.8580489939,47.4833333333
43,76,1874,elementary,WEST BAY ELEMENTARY SCHOOL                                                                          ,BAY         ,BETHLEHEM HIGH SCHOOL                                                                               ,HOLMES      ,44.40969653,52.1684611867,59.5833333333
44,87,1878,elementary,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,BONIFAY K-8 SCHOOL                                                                                  ,HOLMES      ,26.91144024,31.2002903046,40.0333333333
45,87,1876,elementary,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,PONCE DE LEON ELEMENTARY SCHOOL                                                                     ,HOLMES      ,29.05159177,41.3901564861,47.35
46,87,1874,elementary,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,BETHLEHEM HIGH SCHOOL                                                                               ,HOLMES      ,36.71935791,41.5107024974,52.6
47,87,1877,high,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,HOLMES COUNTY HIGH SCHOOL                                                                           ,HOLMES      ,26.99987123,31.7383977571,41.4166666667
48,87,1879,high,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,GRADUATION ASSISTANCE PROGRAM                                                                       ,HOLMES      ,27.57078501,31.4239839338,41.2333333333
49,88,1875,high,J.R. ARNOLD HIGH SCHOOL                                                                             ,BAY         ,PONCE DE LEON HIGH SCHOOL                                                                           ,HOLMES      ,38.03892231,47.7498906387,54.45
50,88,1877,high,J.R. ARNOLD HIGH SCHOOL                                                                             ,BAY         ,HOLMES COUNTY HIGH SCHOOL                                                                           ,HOLMES      ,40.72035811,51.8012308121,61.75
51,62,1878,middle,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,BONIFAY K-8 SCHOOL                                                                                  ,HOLMES      ,38.28686498,46.6823749304,59.1666666667
52,62,1874,middle,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,BETHLEHEM HIGH SCHOOL                                                                               ,HOLMES      ,48.25163508,56.9927871232,71.3166666667
53,87,1878,middle,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,BONIFAY K-8 SCHOOL                                                                                  ,HOLMES      ,26.91144024,31.2002903046,40.0333333333
54,87,1874,middle,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,BETHLEHEM HIGH SCHOOL                                                                               ,HOLMES      ,36.71935791,41.5107024974,52.6
55,73,1917,elementary,SOUTHPORT ELEMENTARY SCHOOL                                                                         ,BAY         ,COTTONDALE ELEMENTARY SCHOOL                                                                        ,JACKSON     ,38.55200706,48.685054283,55.8333333333
56,73,1915,elementary,SOUTHPORT ELEMENTARY SCHOOL                                                                         ,BAY         ,JACKSON ALTERNATIVE SCHOOL                                                                          ,JACKSON     ,39.72410078,49.1100721785,55.8166666667
57,73,1914,elementary,SOUTHPORT ELEMENTARY SCHOOL                                                                         ,BAY         ,HOPE SCHOOL                                                                                         ,JACKSON     ,39.73810498,51.5881004931,58.55
58,75,1914,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,HOPE SCHOOL                                                                                         ,JACKSON     ,28.1540358,34.3947596039,38.0166666667
59,75,1915,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,JACKSON ALTERNATIVE SCHOOL                                                                          ,JACKSON     ,29.23405978,31.9173526605,35.0
60,75,1917,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,COTTONDALE ELEMENTARY SCHOOL                                                                        ,JACKSON     ,29.81274628,31.492334765,34.7666666667
61,87,1917,elementary,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,COTTONDALE ELEMENTARY SCHOOL                                                                        ,JACKSON     ,33.5039231,41.2764455579,50.4833333333
62,87,1915,elementary,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,JACKSON ALTERNATIVE SCHOOL                                                                          ,JACKSON     ,35.80003872,44.8847480713,50.55
63,87,1914,elementary,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,HOPE SCHOOL                                                                                         ,JACKSON     ,36.78618671,47.9064761791,53.15
64,87,1916,high,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,COTTONDALE HIGH SCHOOL                                                                              ,JACKSON     ,33.14733759,40.7414449614,48.6333333333
65,87,1915,high,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,JACKSON ALTERNATIVE SCHOOL                                                                          ,JACKSON     ,35.80003872,44.8847480713,50.55
66,94,1916,high,NORTH BAY HAVEN CAREER ACADEMY                                                                      ,BAY         ,COTTONDALE HIGH SCHOOL                                                                              ,JACKSON     ,40.64972597,44.9102242901,50.35
67,94,1914,high,NORTH BAY HAVEN CAREER ACADEMY                                                                      ,BAY         ,HOPE SCHOOL                                                                                         ,JACKSON     ,40.85410062,48.3476497256,53.2833333333
68,62,1914,middle,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,HOPE SCHOOL                                                                                         ,JACKSON     ,39.31230882,46.6643551658,53.4333333333
69,62,1915,middle,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,JACKSON ALTERNATIVE SCHOOL                                                                          ,JACKSON     ,40.05559571,44.1863268512,50.0166666667
70,87,1915,middle,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,JACKSON ALTERNATIVE SCHOOL                                                                          ,JACKSON     ,35.80003872,44.8847480713,50.55
71,87,1914,middle,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,HOPE SCHOOL                                                                                         ,JACKSON     ,36.78618671,47.9064761791,53.15
72,75,2153,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,W. R. TOLAR K-8 SCHOOL                                                                              ,LIBERTY     ,27.08884447,39.5881800286,46.5166666667
73,75,2155,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,LIBERTY EARLY LEARNING CENTER                                                                       ,LIBERTY     ,28.13889648,33.3191660702,37.25
74,75,2154,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,HOSFORD ELEMENTARY JUNIOR HIGH SCHOOL                                                               ,LIBERTY     ,38.31492872,44.7847073093,50.45
75,80,2153,elementary,DEER POINT ELEMENTARY SCHOOL                                                                        ,BAY         ,W. R. TOLAR K-8 SCHOOL                                                                              ,LIBERTY     ,36.48363673,53.4341943053,60.8833333333
76,80,2155,elementary,DEER POINT ELEMENTARY SCHOOL                                                                        ,BAY         ,LIBERTY EARLY LEARNING CENTER                                                                       ,LIBERTY     ,38.70118193,47.1651803468,52.7166666667
77,80,2154,elementary,DEER POINT ELEMENTARY SCHOOL                                                                        ,BAY         ,HOSFORD ELEMENTARY JUNIOR HIGH SCHOOL                                                               ,LIBERTY     ,48.17821106,58.6313429571,65.3166666667
78,84,2153,elementary,TOMMY SMITH ELEMENTARY SCHOOL                                                                       ,BAY         ,W. R. TOLAR K-8 SCHOOL                                                                              ,LIBERTY     ,35.02005385,52.1224797184,59.5333333333
79,84,2155,elementary,TOMMY SMITH ELEMENTARY SCHOOL                                                                       ,BAY         ,LIBERTY EARLY LEARNING CENTER                                                                       ,LIBERTY     ,37.48093826,45.85346576,52.9833333333
80,84,2154,elementary,TOMMY SMITH ELEMENTARY SCHOOL                                                                       ,BAY         ,HOSFORD ELEMENTARY JUNIOR HIGH SCHOOL                                                               ,LIBERTY     ,46.76008097,57.3196283703,63.8833333333
81,62,2153,middle,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,W. R. TOLAR K-8 SCHOOL                                                                              ,LIBERTY     ,34.90233771,51.8571542194,58.9666666667
82,62,2154,middle,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,HOSFORD ELEMENTARY JUNIOR HIGH SCHOOL                                                               ,LIBERTY     ,46.64334027,57.0543028712,63.2833333333
83,93,2153,middle,NORTH BAY HAVEN CHARTER ACADEMY MIDDLE SCHOOL                                                       ,BAY         ,W. R. TOLAR K-8 SCHOOL                                                                              ,LIBERTY     ,36.97693166,53.5410701503,60.9
84,93,2154,middle,NORTH BAY HAVEN CHARTER ACADEMY MIDDLE SCHOOL                                                       ,BAY         ,HOSFORD ELEMENTARY JUNIOR HIGH SCHOOL                                                               ,LIBERTY     ,48.71862537,58.737597431,65.3666666667
85,63,2389,elementary,HUTCHISON BEACH ELEMENTARY SCHOOL                                                                   ,BAY         ,BLUEWATER ELEMENTARY SCHOOL                                                                         ,OKALOOSA    ,40.18635242,48.3072605981,63.5333333333
86,63,2364,elementary,HUTCHISON BEACH ELEMENTARY SCHOOL                                                                   ,BAY         ,DESTIN ELEMENTARY SCHOOL                                                                            ,OKALOOSA    ,41.63833343,44.6542193589,61.2
87,63,2377,elementary,HUTCHISON BEACH ELEMENTARY SCHOOL                                                                   ,BAY         ,JAMES E PLEW ELEMENTARY SCHOOL                                                                      ,OKALOOSA    ,43.25456486,51.0754692595,68.4833333333
88,76,2389,elementary,WEST BAY ELEMENTARY SCHOOL                                                                          ,BAY         ,BLUEWATER ELEMENTARY SCHOOL                                                                         ,OKALOOSA    ,36.06516401,46.5431877833,52.8166666667
89,76,2364,elementary,WEST BAY ELEMENTARY SCHOOL                                                                          ,BAY         ,DESTIN ELEMENTARY SCHOOL                                                                            ,OKALOOSA    ,38.50938544,44.9910025451,58.5
90,76,2377,elementary,WEST BAY ELEMENTARY SCHOOL                                                                          ,BAY         ,JAMES E PLEW ELEMENTARY SCHOOL                                                                      ,OKALOOSA    ,39.1068027,49.7103167502,57.1833333333
91,89,2389,elementary,BREAKFAST POINT ACADEMY                                                                             ,BAY         ,BLUEWATER ELEMENTARY SCHOOL                                                                         ,OKALOOSA    ,41.31522455,50.5075359898,69.0333333333
92,89,2364,elementary,BREAKFAST POINT ACADEMY                                                                             ,BAY         ,DESTIN ELEMENTARY SCHOOL                                                                            ,OKALOOSA    ,42.71133403,46.8551161218,66.6666666667
93,89,2377,elementary,BREAKFAST POINT ACADEMY                                                                             ,BAY         ,JAMES E PLEW ELEMENTARY SCHOOL                                                                      ,OKALOOSA    ,44.383517299999994,53.2763660224,74.0666666667
94,87,2398,high,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,COLLEGIATE HIGH SCHOOL AT NORTHWEST FLORIDA STATE COLLEGE                                           ,OKALOOSA    ,47.98515891,55.6046438797,63.55
95,87,2368,high,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,NICEVILLE SENIOR HIGH SCHOOL                                                                        ,OKALOOSA    ,48.02252421,53.7150540841,64.9333333333
96,88,2368,high,J.R. ARNOLD HIGH SCHOOL                                                                             ,BAY         ,NICEVILLE SENIOR HIGH SCHOOL                                                                        ,OKALOOSA    ,45.19634074,56.0327686312,72.4333333333
97,88,2398,high,J.R. ARNOLD HIGH SCHOOL                                                                             ,BAY         ,COLLEGIATE HIGH SCHOOL AT NORTHWEST FLORIDA STATE COLLEGE                                           ,OKALOOSA    ,45.48844815,54.9453690448,70.35
98,71,2392,middle,SURFSIDE MIDDLE SCHOOL                                                                              ,BAY         ,DESTIN MIDDLE SCHOOL                                                                                ,OKALOOSA    ,36.65211452,39.705619184,52.9
99,71,2384,middle,SURFSIDE MIDDLE SCHOOL                                                                              ,BAY         ,ADDIE R. LEWIS SCHOOL                                                                               ,OKALOOSA    ,42.98157886,54.6607810387,75.75
100,89,2392,middle,BREAKFAST POINT ACADEMY                                                                             ,BAY         ,DESTIN MIDDLE SCHOOL                                                                                ,OKALOOSA    ,38.88893471,43.093334924,59.7833333333
101,89,2384,middle,BREAKFAST POINT ACADEMY                                                                             ,BAY         ,ADDIE R. LEWIS SCHOOL                                                                               ,OKALOOSA    ,45.2724737,58.0484967788,82.5166666667
102,63,3760,elementary,HUTCHISON BEACH ELEMENTARY SCHOOL                                                                   ,BAY         ,DUNE LAKES ELEMENTARY SCHOOL                                                                        ,WALTON      ,17.59684703,18.9499572497,24.5
103,63,3767,elementary,HUTCHISON BEACH ELEMENTARY SCHOOL                                                                   ,BAY         ,BAY SCHOOL                                                                                          ,WALTON      ,20.48358196,22.7589626581,28.1666666667
104,63,3766,elementary,HUTCHISON BEACH ELEMENTARY SCHOOL                                                                   ,BAY         ,FREEPORT ELEMENTARY SCHOOL                                                                          ,WALTON      ,26.3704017,34.6271524298,41.0333333333
105,76,3760,elementary,WEST BAY ELEMENTARY SCHOOL                                                                          ,BAY         ,DUNE LAKES ELEMENTARY SCHOOL                                                                        ,WALTON      ,13.420763,19.2861190647,21.8666666667
106,76,3767,elementary,WEST BAY ELEMENTARY SCHOOL                                                                          ,BAY         ,BAY SCHOOL                                                                                          ,WALTON      ,16.30321715,23.0957458443,25.5166666667
107,76,3766,elementary,WEST BAY ELEMENTARY SCHOOL                                                                          ,BAY         ,FREEPORT ELEMENTARY SCHOOL                                                                          ,WALTON      ,20.84388953,26.7649427344,29.8333333333
108,89,3760,elementary,BREAKFAST POINT ACADEMY                                                                             ,BAY         ,DUNE LAKES ELEMENTARY SCHOOL                                                                        ,WALTON      ,18.74078251,21.1502326414,29.9666666667
109,89,3767,elementary,BREAKFAST POINT ACADEMY                                                                             ,BAY         ,BAY SCHOOL                                                                                          ,WALTON      ,21.62511841,24.9592380498,33.7166666667
110,89,3766,elementary,BREAKFAST POINT ACADEMY                                                                             ,BAY         ,FREEPORT ELEMENTARY SCHOOL                                                                          ,WALTON      ,27.50537384,36.8274278215,46.6833333333
111,87,3768,high,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,SEASIDE NEIGHBORHOOD SCHOOL                                                                         ,WALTON      ,27.54164737,44.6815596914,55.15
112,87,3755,high,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,FREEPORT SENIOR HIGH SCHOOL                                                                         ,WALTON      ,27.80421087,34.8837787322,40.25
113,88,3768,high,J.R. ARNOLD HIGH SCHOOL                                                                             ,BAY         ,SEASIDE NEIGHBORHOOD SCHOOL                                                                         ,WALTON      ,21.02072571,26.5058309473,35.75
114,88,3759,high,J.R. ARNOLD HIGH SCHOOL                                                                             ,BAY         ,SOUTH WALTON HIGH SCHOOL                                                                            ,WALTON      ,24.99657972,26.9712379703,34.1166666667
115,71,3758,middle,SURFSIDE MIDDLE SCHOOL                                                                              ,BAY         ,EMERALD COAST MIDDLE SCHOOL                                                                         ,WALTON      ,18.78796719,20.0883092738,25.2333333333
116,71,3756,middle,SURFSIDE MIDDLE SCHOOL                                                                              ,BAY         ,FREEPORT MIDDLE SCHOOL                                                                              ,WALTON      ,26.2196162,35.0086743418,42.4
117,89,3758,middle,BREAKFAST POINT ACADEMY                                                                             ,BAY         ,EMERALD COAST MIDDLE SCHOOL                                                                         ,WALTON      ,21.11261387,23.4766463851,32.0333333333
118,89,3756,middle,BREAKFAST POINT ACADEMY                                                                             ,BAY         ,FREEPORT MIDDLE SCHOOL                                                                              ,WALTON      ,28.50369981,38.3963900819,49.2666666667
119,73,3776,elementary,SOUTHPORT ELEMENTARY SCHOOL                                                                         ,BAY         ,VERNON ELEMENTARY SCHOOL                                                                            ,WASHINGTON  ,23.68767221,26.8245943689,32.0
120,73,3775,elementary,SOUTHPORT ELEMENTARY SCHOOL                                                                         ,BAY         ,WASHINGTON ACADEMY OF VARYING EXCEPTIONALITIES (WAVE)                                               ,WASHINGTON  ,33.12101804,37.3413017975,46.6
121,73,3771,elementary,SOUTHPORT ELEMENTARY SCHOOL                                                                         ,BAY         ,KATE M. SMITH ELEMENTARY SCHOOL                                                                     ,WASHINGTON  ,33.75152954,37.8570398871,47.25
122,75,3776,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,VERNON ELEMENTARY SCHOOL                                                                            ,WASHINGTON  ,23.93778026,34.2860196453,39.1
123,75,3775,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,WASHINGTON ACADEMY OF VARYING EXCEPTIONALITIES (WAVE)                                               ,WASHINGTON  ,28.15183937,37.1281714786,43.6666666667
124,75,3771,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,KATE M. SMITH ELEMENTARY SCHOOL                                                                     ,WASHINGTON  ,28.71248809,37.3176896922,43.0833333333
125,87,3776,elementary,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,VERNON ELEMENTARY SCHOOL                                                                            ,WASHINGTON  ,16.08464754,18.8095273602,23.9
126,87,3775,elementary,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,WASHINGTON ACADEMY OF VARYING EXCEPTIONALITIES (WAVE)                                               ,WASHINGTON  ,26.55385675,29.3262347888,38.7
127,87,3771,elementary,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,KATE M. SMITH ELEMENTARY SCHOOL                                                                     ,WASHINGTON  ,27.18591751,29.8425942496,39.6166666667
128,87,3772,high,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,VERNON HIGH SCHOOL                                                                                  ,WASHINGTON  ,14.75081729,17.005065418,21.8
129,87,3770,high,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,CHIPLEY HIGH SCHOOL                                                                                 ,WASHINGTON  ,26.53467149,29.5747832657,39.4666666667
130,94,3772,high,NORTH BAY HAVEN CAREER ACADEMY                                                                      ,BAY         ,VERNON HIGH SCHOOL                                                                                  ,WASHINGTON  ,26.36246228,32.0801519128,41.15
131,94,3770,high,NORTH BAY HAVEN CAREER ACADEMY                                                                      ,BAY         ,CHIPLEY HIGH SCHOOL                                                                                 ,WASHINGTON  ,36.4473513,44.6498697606,57.9666666667
132,78,3773,middle,MOWAT MIDDLE SCHOOL                                                                                 ,BAY         ,VERNON MIDDLE SCHOOL                                                                                ,WASHINGTON  ,26.91467768,30.1501729897,36.95
133,78,3774,middle,MOWAT MIDDLE SCHOOL                                                                                 ,BAY         ,ROULHAC MIDDLE SCHOOL                                                                               ,WASHINGTON  ,37.34940359,41.929506681,53.75
134,87,3773,middle,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,VERNON MIDDLE SCHOOL                                                                                ,WASHINGTON  ,15.34908309,17.5469010976,21.5
135,87,3774,middle,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,ROULHAC MIDDLE SCHOOL                                                                               ,WASHINGTON  ,26.55385675,29.3262347888,38.7
136,538,75,elementary,CARR ELEMENTARY & MIDDLE SCHOOL                                                                     ,CALHOUN     ,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,16.50655676,21.0203660622,24.15
137,538,84,elementary,CARR ELEMENTARY & MIDDLE SCHOOL                                                                     ,CALHOUN     ,TOMMY SMITH ELEMENTARY SCHOOL                                                                       ,BAY         ,26.94917179,33.5552871232,39.0666666667
138,538,80,elementary,CARR ELEMENTARY & MIDDLE SCHOOL                                                                     ,CALHOUN     ,DEER POINT ELEMENTARY SCHOOL                                                                        ,BAY         ,27.83967471,34.8427682335,40.55
139,539,75,elementary,ALTHA PUBLIC SCHOOL                                                                                 ,CALHOUN     ,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,23.59122866,30.5441223256,35.7833333333
140,539,84,elementary,ALTHA PUBLIC SCHOOL                                                                                 ,CALHOUN     ,TOMMY SMITH ELEMENTARY SCHOOL                                                                       ,BAY         ,34.72424082,43.0790433866,51.3333333333
141,539,80,elementary,ALTHA PUBLIC SCHOOL                                                                                 ,CALHOUN     ,DEER POINT ELEMENTARY SCHOOL                                                                        ,BAY         ,35.30571813,44.3665244969,52.55
